RA,DA,RB,DB
5,0,8,24
4,0,10,17
5,0,13,12
5,0,10,6
4,0,8,5
8,0,13,2
5,0,8,1.5
9,0,13,1
7,0,10,0.5
19,0,30,23
11,0,25,15
15,0,35,10
15,0,35,8
15,0,30,5
14,0,25,2.5
16,0,25,1.5
24,0,35,1
21,0,30,0.5
28,0,45,24
22,0,50,15
17,0,40,10
23,0,50,7
20,0,40,5
25,0,45,2.5
25.5,0,40,1.5
31,0,45,1
35,0,50,0.5
