RA,DA,RB,DB
5.4,0,5.5,117
5.5,0,7.5,61
1.9,0,2.5,53
3.1,0,8.5,7
1.4,0,2.5,19
4.7,0,5,160
1.5,0,3.5,13
2.5,0,6,14
7.8,0,8,162
4,0,5.5,62
1.1,0,3,7
6.7,0,7.5,119
3.4,0,3.5,186
2.7,0,5,21
6.9,0,8.5,91
4.9,0,6,89
8,0,8.5,157
2.4,0,3.5,29
3.3,0,8,14
2.8,0,3,179
3.4,0,5,30
2.5,0,3,80
4.1,0,7.5,20
5.4,0,6,111
5.4,0,8,30
2.2,0,2.5,136
2,0,5.5,7
